episode_id,x_i,y_i,z_i,x_final,y_final,z_final,time_to_land,success,total_reward,n_transitions,n_hard,landing_error,terminal_reward,final_roll,final_pitch,final_yaw
16,-86.3552,70.0908,70.0,-86.5397,70.1041,68.3469,3.0745,Success,6.7769,919,217,8.1693,20.0,-0.001013,0.00427,1.8e-05
17,-80.8862,68.0687,90.0,-81.0696,68.0869,88.1269,3.0705,Success,66.5898,878,120,6.9954,35.0,-0.001528,0.004242,-3e-06
18,-72.3124,81.2958,90.0,-72.4962,81.3115,88.2041,3.0727,Success,239.5067,1039,114,9.8052,20.0,-0.001431,0.004248,-3e-06
19,-81.4027,80.2355,80.0,-81.5869,80.2494,78.2365,3.0763,Success,56.2686,1043,71,5.484,35.0,-0.001202,0.004262,9e-06
20,-87.4643,67.7578,90.0,-87.6481,67.7754,88.1212,3.0752,Success,-10.9279,899,191,10.5209,20.0,-0.001494,0.004242,0.0
1,-72.5804,83.1917,80.0,-72.7642,83.2069,78.1801,3.0713,Success,32.4358,888,187,10.9412,20.0,-0.001353,0.004262,2e-06
2,-89.2522,82.945,70.0,-89.436,82.9599,68.2234,3.0734,Success,-62.2056,953,350,12.345,10.0,-0.001263,0.004254,1.1e-05
3,-83.7185,69.812,70.0,-83.9027,69.8234,68.3059,3.0727,Success,-43.835,859,369,6.4829,35.0,-0.000909,0.004271,1.5e-05
4,-83.1042,82.8351,90.0,-83.2874,82.8541,88.1676,3.0697,Success,3.8891,773,230,8.5143,20.0,-0.001551,0.004238,5e-06
5,-89.039,71.9174,80.0,-89.223,71.9327,78.2097,3.0782,Success,11.2262,1034,161,9.7197,20.0,-0.001299,0.004257,7e-06
6,-83.7054,80.3543,70.0,-83.8899,80.365,68.3368,3.0733,Success,305.437,854,111,6.6268,35.0,-0.00088,0.004281,1.4e-05
7,-78.3013,76.4052,70.0,-78.4853,76.4166,68.2652,3.0692,Success,13.1565,763,231,2.0739,50.0,-0.00092,0.004269,1.4e-05
8,-78.8899,70.0441,80.0,-79.0732,70.059,78.1604,3.0667,Success,59.0861,684,67,5.0272,35.0,-0.001346,0.004241,-0.0
9,-85.6991,75.588,90.0,-85.8828,75.6042,88.2007,3.0714,Success,57.4574,913,142,5.9138,35.0,-0.001434,0.004244,3e-06
10,-73.614,67.4418,70.0,-73.7984,67.4538,68.2922,3.0727,Success,8.92,814,78,9.7676,20.0,-0.000972,0.004272,1.4e-05
11,-81.4254,84.5492,80.0,-81.6095,84.5618,78.2691,3.0723,Success,-53.5697,833,311,9.6963,20.0,-0.001151,0.004262,7e-06
12,-73.5466,82.9271,80.0,-73.7307,82.9434,78.2298,3.0749,Success,-44.9291,944,398,10.1194,20.0,-0.001435,0.004253,4e-06
13,-80.1645,78.3768,70.0,-80.3488,78.3876,68.3345,3.0717,Success,-29.9879,954,288,3.4056,35.0,-0.000893,0.004276,1.4e-05
14,-78.8952,69.6513,70.0,-79.0791,69.664,68.2965,3.068,Success,10.5834,753,223,5.4149,35.0,-0.000956,0.004266,1.8e-05
15,-79.3536,67.1397,80.0,-79.5372,67.1561,78.1995,3.0723,Success,-11.3064,804,278,7.8575,20.0,-0.001309,0.00425,1.1e-05
16,-89.9164,72.9157,90.0,-90.1001,72.9324,88.1842,3.0718,Success,-21.6208,943,265,10.3095,20.0,-0.001483,0.004244,-1e-06
17,-87.4087,79.904,90.0,-87.5922,79.9202,88.1462,3.0736,Success,171.512,879,65,9.0471,20.0,-0.001425,0.004246,-1e-06
18,-77.3523,70.4152,80.0,-77.536,70.4295,78.1464,3.0722,Success,98.271,939,79,5.1923,35.0,-0.001246,0.004255,2e-06
19,-77.9946,80.1188,90.0,-78.1784,80.1373,88.1711,3.0737,Success,99.8311,873,103,5.4507,35.0,-0.001622,0.004245,-3e-06
20,-73.873,71.9723,90.0,-74.0569,71.989,88.1656,3.0762,Success,80.0583,1049,83,6.6623,35.0,-0.001461,0.00425,-3e-06
1,-82.6191,75.6315,70.0,-82.803,75.6415,68.3407,3.0619,Success,-25.5466,304,277,2.8755,50.0,-0.000848,0.004278,1.2e-05
2,-76.3032,68.6415,80.0,-76.4869,68.6557,78.2277,3.0697,Success,138.9512,684,44,7.252,20.0,-0.001311,0.004249,-0.0
3,-71.4102,72.8878,90.0,-71.5941,72.906,88.1764,3.0755,Success,-15.3638,948,257,8.6628,20.0,-0.001601,0.004245,-8e-06
4,-83.1343,79.3381,80.0,-83.3184,79.3519,78.2019,3.0771,PartialSuccess,50.1324,1239,184,5.4727,25.0,-0.001259,0.004255,4e-06
5,-85.3684,80.4147,90.0,-85.5523,80.4308,88.1262,3.0733,Success,17.099,859,109,7.7667,20.0,-0.001448,0.00425,-6e-06
6,-73.0827,81.7334,80.0,-73.2669,81.7476,78.2177,3.0768,Success,62.9805,1018,69,9.5323,20.0,-0.001257,0.004259,4e-06
7,-72.5201,74.7123,80.0,-72.704,74.7257,78.2213,3.0727,Success,-21.6644,829,139,7.3012,20.0,-0.001235,0.004254,2e-06
8,-79.5669,65.4919,80.0,-79.7509,65.5061,78.2818,3.071,Success,115.048,758,146,9.4971,20.0,-0.001223,0.004258,9e-06
9,-78.7109,79.4157,80.0,-78.895,79.4294,78.2746,3.0735,Success,-17.3712,969,271,4.5651,35.0,-0.001257,0.004252,5e-06
10,-80.7833,77.5696,90.0,-80.9669,77.586,88.1728,3.0749,Success,39.5648,943,240,2.7608,50.0,-0.001463,0.004246,-3e-06
11,-85.1671,82.5626,90.0,-85.3509,82.5784,88.2148,3.0759,Success,83.068,988,174,9.2771,20.0,-0.001431,0.004248,-2e-06
12,-87.9131,69.6592,80.0,-88.0975,69.6715,78.2738,3.0757,Success,8.327,1049,148,9.6934,20.0,-0.001166,0.004263,3e-06
13,-73.1749,83.3998,90.0,-73.3588,83.4162,88.1441,3.0749,Success,46.8581,898,107,10.7209,20.0,-0.001448,0.004251,-3e-06
14,-77.8726,65.7831,80.0,-78.057,65.7961,78.2909,3.0748,Success,1.1263,1074,115,9.4068,20.0,-0.001235,0.004261,1e-06
15,-72.1606,74.6203,70.0,-72.3449,74.6308,68.324,3.0717,Success,-43.3601,973,351,7.664,20.0,-0.000943,0.004266,1.3e-05
16,-89.8963,69.6257,90.0,-90.0799,69.641,88.2318,3.0659,Success,71.4953,624,100,11.4159,20.0,-0.001397,0.004241,0.0
17,-76.9388,83.0135,70.0,-77.123,83.0248,68.3193,3.0708,Success,93.3664,974,58,8.5249,20.0,-0.00095,0.004271,1.4e-05
18,-75.5483,67.5623,90.0,-75.7319,67.5787,88.1327,3.0728,Success,-54.7558,793,509,8.5611,20.0,-0.001436,0.004245,-3e-06
19,-83.3328,67.9969,70.0,-83.5176,68.006,68.4275,3.0755,Success,50.1778,1079,113,7.8287,20.0,-0.000904,0.004277,9e-06
20,-84.2428,76.4897,70.0,-84.4274,76.4995,68.309,3.0751,Success,60.0499,1143,139,4.6744,35.0,-0.000836,0.00428,1.2e-05
1,-83.2338,76.4615,70.0,-83.4181,76.471,68.213,3.0783,Success,-56.8963,655,382,3.7212,35.0,-0.000815,0.004293,1.1e-05
2,-89.6754,78.8501,70.0,-89.8591,78.8657,68.2917,3.0686,Success,53.3808,713,55,10.5899,20.0,-0.001317,0.004253,1.1e-05
3,-84.4448,71.8626,70.0,-84.6286,71.8753,68.2986,3.0653,Success,-62.6363,504,366,5.5846,35.0,-0.001101,0.004259,1.2e-05
4,-86.7117,69.026,80.0,-86.8961,69.0407,78.2094,3.0784,Success,172.2267,1109,155,9.1142,20.0,-0.001253,0.00426,9e-06
5,-88.741,75.4629,80.0,-88.9249,75.477,78.2428,3.0706,Success,23.4526,913,208,8.9376,20.0,-0.001244,0.004253,9e-06
6,-87.0376,83.5834,80.0,-87.2214,83.5977,78.2239,3.0731,Success,252.46,859,95,11.2281,20.0,-0.001183,0.004258,1.1e-05
7,-80.0886,77.568,80.0,-80.2725,77.5829,78.2012,3.0745,Success,-4.1688,938,293,2.5972,50.0,-0.001254,0.004256,9e-06
8,-80.1512,78.3468,80.0,-80.3351,78.3618,78.2548,3.0719,Success,70.0736,879,94,3.3784,35.0,-0.001279,0.004253,9e-06
9,-71.7637,76.7744,90.0,-71.9474,76.7933,88.1281,3.0735,Success,34.2956,858,108,8.2499,20.0,-0.001617,0.004243,-7e-06
10,-82.3061,81.2979,70.0,-82.4906,81.3084,68.2958,3.0747,Success,177.6514,924,163,6.7822,35.0,-0.000838,0.00428,1.4e-05
11,-78.9628,74.8161,70.0,-79.1469,74.8267,68.2985,3.0706,Success,11.3885,759,325,0.8705,50.0,-0.000876,0.004275,1.3e-05
12,-79.4103,79.749,90.0,-79.5937,79.7642,88.1725,3.066,Success,175.3134,513,40,4.7815,35.0,-0.001351,0.004246,-1e-06
13,-78.1188,80.6761,90.0,-78.3024,80.6943,88.0912,3.0764,Success,50.6542,1024,145,5.942,35.0,-0.001585,0.004244,-7e-06
14,-83.7163,71.1921,70.0,-83.9007,71.2025,68.3015,3.076,Success,37.0958,1048,141,5.4439,35.0,-0.000871,0.004279,1.3e-05
15,-89.6382,79.849,70.0,-89.8224,79.862,68.3205,3.0707,Success,49.9416,789,142,10.9599,20.0,-0.001072,0.00427,1.2e-05
16,-84.2974,80.368,70.0,-84.4821,80.3792,68.3313,3.0797,Success,-35.4625,1174,358,7.0018,20.0,-0.001036,0.004278,1e-05
17,-75.5033,67.4631,90.0,-75.6867,67.4782,88.162,3.0696,Success,-33.9117,783,122,8.6707,20.0,-0.001359,0.004243,-3e-06
18,-87.6156,70.4043,90.0,-87.7994,70.4207,88.126,3.0774,Success,91.1404,1054,141,9.0444,20.0,-0.001444,0.004247,-2e-06
19,-72.2046,72.8713,90.0,-72.3886,72.8872,88.1605,3.0734,Success,172.791,998,76,7.8992,20.0,-0.001415,0.004251,-5e-06
20,-81.7177,81.7558,80.0,-81.9015,81.7725,78.2689,3.0692,Success,145.3182,864,148,7.0344,20.0,-0.001383,0.004252,1.3e-05
1,-77.9124,77.5259,90.0,-78.0958,77.5429,88.1603,3.0642,Success,-63.3653,511,374,3.1769,35.0,-0.001519,0.004247,-3e-06
2,-74.0984,66.275,90.0,-74.2821,66.2911,88.0887,3.0745,Success,226.2283,894,94,10.4182,20.0,-0.001429,0.004245,-7e-06
3,-75.3453,66.0256,80.0,-75.5293,66.0413,78.1821,3.0778,Success,4.7837,1068,206,10.0123,20.0,-0.001392,0.004252,1e-06
4,-74.7921,75.64,80.0,-74.9757,75.6576,78.141,3.0719,Success,-36.7153,989,315,5.0672,35.0,-0.001503,0.004245,1e-06
5,-83.1088,68.9337,70.0,-83.2929,68.946,68.3102,3.0726,Success,217.6099,793,86,6.8916,35.0,-0.000986,0.004272,1.5e-05
6,-73.4051,71.7081,80.0,-73.589,71.7236,78.238,3.0694,Success,-19.0182,804,280,7.1997,20.0,-0.001357,0.004254,5e-06
7,-78.9705,71.2214,90.0,-79.1543,71.2375,88.1004,3.0745,Success,173.1899,853,152,3.8564,35.0,-0.001456,0.004242,-9e-06
8,-78.7153,81.8107,90.0,-78.8981,81.8267,88.0932,3.065,Success,174.1992,583,88,6.9151,35.0,-0.001418,0.004229,-6e-06
9,-74.3372,80.9389,70.0,-74.5212,80.9502,68.2492,3.076,Success,23.8111,1064,156,8.0884,20.0,-0.000909,0.004271,1.4e-05
10,-83.8507,81.1392,90.0,-84.0347,81.1564,88.2196,3.0727,Success,-50.0214,788,349,7.3607,20.0,-0.001553,0.004252,-1e-06
11,-78.5853,84.077,70.0,-78.7699,84.0872,68.3498,3.0765,Success,25.1043,1029,119,9.1701,20.0,-0.000835,0.004278,1.5e-05
12,-71.9407,76.1113,90.0,-72.1241,76.1292,88.1093,3.0718,Success,-52.0125,823,548,7.9565,20.0,-0.001566,0.00424,-6e-06
13,-87.8414,72.357,90.0,-88.0251,72.3744,88.2135,3.0708,Success,151.6493,884,108,8.4437,20.0,-0.001493,0.004244,1e-06
14,-78.7629,80.825,80.0,-78.9467,80.84,78.1967,3.0737,Success,343.7382,879,66,5.9343,35.0,-0.001253,0.004252,8e-06
15,-77.4479,66.482,70.0,-77.6323,66.492,68.3642,3.0739,Success,-24.5341,938,276,8.8313,20.0,-0.000881,0.004271,1.3e-05
16,-74.8182,69.5652,70.0,-75.0025,69.5743,68.3506,3.0687,Success,-42.5786,794,306,7.3765,20.0,-0.000828,0.004271,1e-05
17,-89.3162,71.8407,90.0,-89.4998,71.8557,88.2364,3.0692,Success,-26.6606,803,258,10.0067,20.0,-0.001349,0.004249,0.0
18,-74.2832,77.4327,90.0,-74.4671,77.4469,88.2156,3.0754,Success,373.1167,989,105,6.0498,35.0,-0.001354,0.004249,-4e-06
19,-85.285,75.2113,80.0,-85.4691,75.2235,78.1759,3.0745,Success,180.0391,914,99,5.4737,35.0,-0.001076,0.004262,6e-06
20,-89.1704,65.2296,90.0,-89.3544,65.2442,88.2481,3.0681,Success,77.4733,713,56,13.5159,10.0,-0.001332,0.004252,0.0
1,-75.0222,65.4897,70.0,-75.2061,65.5016,68.3322,3.0656,Success,179.7919,498,37,10.6396,20.0,-0.00099,0.00427,1.6e-05
2,-81.37,77.2316,70.0,-81.5541,77.2444,68.2932,3.0704,Success,-34.3386,819,416,2.7299,50.0,-0.001021,0.004268,1.6e-05
3,-87.9053,69.3195,70.0,-88.0888,69.3362,68.2251,3.07,Success,8.3134,748,196,9.8746,20.0,-0.001209,0.004254,1.6e-05
4,-77.4009,80.5523,70.0,-77.5855,80.5631,68.3581,3.0783,Success,47.7424,1184,238,6.0645,35.0,-0.000912,0.004273,1.5e-05
5,-74.6257,76.2616,80.0,-74.8092,76.272,78.0744,3.0678,Success,-6.8161,714,247,5.3444,35.0,-0.001019,0.004251,-1e-06
6,-80.1285,72.8955,90.0,-80.3122,72.9124,88.1948,3.0698,Success,155.0726,853,145,2.1108,50.0,-0.001495,0.004244,-3e-06
7,-88.6227,79.2572,70.0,-88.8067,79.2703,68.2545,3.071,Success,344.8196,709,48,9.7874,20.0,-0.001188,0.004261,8e-06
8,-72.9818,79.0358,80.0,-73.1659,79.0505,78.1807,3.078,Success,-0.552,1128,291,7.9443,20.0,-0.001329,0.004256,0.0
9,-89.7897,73.3338,90.0,-89.9734,73.3489,88.1578,3.0723,Success,-7.8587,904,196,10.1092,20.0,-0.001414,0.004245,-5e-06
10,-75.0569,71.5933,80.0,-75.2407,71.6094,78.2314,3.0737,Success,52.5388,854,41,5.8435,35.0,-0.00136,0.004252,6e-06
11,-73.7722,75.6811,90.0,-73.9566,75.6928,88.31,3.0716,Success,245.8652,878,131,6.083,35.0,-0.001153,0.004257,-0.0
12,-86.5175,66.5027,90.0,-86.701,66.5208,88.1379,3.0703,Success,180.2546,854,106,10.8074,20.0,-0.001589,0.00424,-6e-06
13,-71.4063,80.5772,90.0,-71.5901,80.5947,88.1692,3.0759,Success,20.1591,1058,163,10.1008,20.0,-0.001543,0.004247,-5e-06
14,-81.7623,71.1858,90.0,-81.946,71.203,88.1071,3.0764,Success,8.592,1029,224,4.2666,35.0,-0.001574,0.004242,-8e-06
15,-80.9208,80.7146,70.0,-81.1049,80.7248,68.3159,3.0667,Success,247.8105,658,68,5.8304,35.0,-0.000834,0.004274,1.4e-05
16,-79.8289,81.1015,90.0,-80.0128,81.1171,88.2271,3.0711,Success,-9.5733,769,246,6.1171,35.0,-0.001451,0.004247,-4e-06
17,-79.2901,80.0537,80.0,-79.4743,80.0685,78.2476,3.0758,Success,-1.8513,1029,303,5.0957,35.0,-0.001282,0.00426,8e-06
18,-73.4262,79.0313,80.0,-73.61,79.0465,78.2296,3.0718,Success,-12.4119,928,219,7.5635,20.0,-0.001351,0.004251,3e-06
19,-79.4567,71.0206,90.0,-79.64,71.0398,88.094,3.0745,Success,23.7291,904,205,3.9765,35.0,-0.00161,0.004238,-8e-06
20,-89.2286,68.3258,90.0,-89.412,68.3427,88.1855,3.0662,Success,127.7548,563,83,11.5285,20.0,-0.001512,0.004243,-4e-06
1,-75.8383,66.435,80.0,-76.0218,66.4481,78.2424,3.0634,Success,-77.4388,377,257,9.4319,20.0,-0.001254,0.00426,0.0
2,-89.1541,80.9282,70.0,-89.3382,80.9434,68.2546,3.0764,Success,-47.2767,974,301,11.0692,20.0,-0.001259,0.004267,7e-06
3,-74.2796,75.752,70.0,-74.4642,75.7629,68.3474,3.0767,Success,-35.6235,1188,444,5.5881,35.0,-0.000921,0.004275,1.4e-05
4,-76.2806,84.4321,70.0,-76.4648,84.4442,68.3167,3.0712,Success,48.4844,729,77,10.0842,20.0,-0.001009,0.004269,1.4e-05
5,-87.8443,68.4543,90.0,-88.028,68.472,88.1871,3.07,Success,-62.1378,798,529,10.3472,20.0,-0.001504,0.004242,1e-06
6,-70.7511,75.9155,90.0,-70.9352,75.9316,88.2015,3.0765,Success,60.3592,1049,118,9.1126,20.0,-0.001493,0.004247,-5e-06
7,-79.4218,65.9012,80.0,-79.6055,65.9177,78.197,3.0761,Success,70.4924,984,247,9.0909,20.0,-0.001391,0.004248,5e-06
8,-71.9274,81.3054,90.0,-72.1111,81.3217,88.1622,3.0716,Success,-27.8616,953,249,10.1094,20.0,-0.001412,0.004246,-1e-06
9,-70.9338,81.0673,80.0,-71.1176,81.0827,78.2085,3.0726,Success,23.0548,1069,191,10.7655,20.0,-0.001344,0.004251,4e-06
10,-75.657,70.4116,90.0,-75.8416,70.4205,88.2612,3.0742,Success,-24.8148,983,263,6.1858,35.0,-0.001005,0.004259,-8e-06
11,-84.0159,75.2301,90.0,-84.1998,75.2433,88.1012,3.0795,PartialSuccess,115.3508,1239,194,4.2069,25.0,-0.001221,0.004254,-1e-06
12,-89.9388,73.3842,70.0,-90.1231,73.3967,68.2396,3.0725,Success,57.1588,749,94,10.2492,20.0,-0.001037,0.004262,1.4e-05
13,-72.2855,82.4994,90.0,-72.4692,82.5141,88.1406,3.0682,Success,78.031,618,98,10.6384,20.0,-0.00137,0.004248,-6e-06
14,-89.9402,78.5517,90.0,-90.1242,78.5684,88.1183,3.0797,Success,21.2578,1069,101,10.7346,20.0,-0.001471,0.004253,-3e-06
15,-75.0775,71.2574,70.0,-75.2621,71.2637,68.3167,3.071,Success,138.4276,873,62,6.0339,35.0,-0.000669,0.004281,6e-06
16,-80.1515,78.4895,90.0,-80.3349,78.506,88.1437,3.0687,Success,74.7044,789,86,3.5219,35.0,-0.001464,0.00424,-3e-06
17,-89.0338,83.2161,90.0,-89.2181,83.2312,88.2571,3.0769,Success,-13.322,1019,287,12.3582,10.0,-0.001392,0.004256,1e-06
18,-71.5757,67.8793,90.0,-71.7597,67.8961,88.1994,3.0768,Success,-1.0922,1098,157,10.8797,20.0,-0.001477,0.004248,-1e-06
19,-75.8898,77.1355,90.0,-76.0735,77.1523,88.1071,3.078,PartialSuccess,2.3214,1239,178,4.4777,25.0,-0.001447,0.004244,-4e-06
20,-75.421,82.8358,80.0,-75.605,82.8509,78.224,3.0749,Success,293.084,963,110,8.9973,20.0,-0.001323,0.004256,4e-06
1,-78.3918,77.1511,90.0,-78.575,77.1703,88.1642,3.062,Success,52.6691,322,81,2.5963,50.0,-0.001687,0.004243,-6e-06
2,-79.3583,78.7688,90.0,-79.5419,78.7867,88.111,3.0752,Success,314.6297,904,83,3.8143,35.0,-0.001509,0.004247,-2e-06
